3298 1
764 -30 -53
765 -43 -63
766 -71 39
767 37 -87
768 46 -16
769 74 -56
770 39 43
771 -82 -82
772 -25 0
773 21 9
774 -100 -15
775 -78 90
776 -50 78
777 -64 -60
778 -97 82
779 -5 -27
780 -72 3
781 -39 -92
782 92 48
783 72 -13
784 -69 -5
785 32 70
786 -63 50
787 -51 -92
788 72 100
789 -57 44
790 89 -7
791 21 76
792 -16 -26
793 57 79
794 48 36
795 -69 59
796 44 -77
797 -44 -35
798 10 -13
799 60 -59
800 -94 97
801 41 -6
802 -42 90
803 3 80
804 90 -4
805 24 28
806 40 95
807 3 -77
808 -31 -90
809 52 67
810 -4 84
811 25 -61
812 -94 81
813 4 -34
814 -83 -37
815 8 -77
816 -91 -52
817 -33 -83
818 89 20
819 98 28
820 -45 56
821 -35 9
822 79 34
823 -31 30
824 -50 65
825 13 75
826 54 -31
827 5 -93
828 36 -28
829 -55 -71
830 92 13
831 97 80
832 -68 94
833 7 -52
834 -86 13
835 54 -20
836 72 32
837 64 91
838 -88 -86
839 55 -25
840 39 8
841 -5 -56
842 -35 -70
843 16 -15
844 74 12
845 -36 65
846 -76 -40
847 -5 -44
848 -96 -99
849 -45 -82
850 -36 -92
851 -2 86
852 -9 -88
853 76 -47
854 -74 30
855 28 65
856 88 -78
857 59 -48
858 -98 -75
859 37 76
860 37 51
861 -9 61
862 -89 86
863 67 -85
864 37 -79
865 -67 -99
866 81 -18
867 87 -79
868 -6 13
869 -26 20
870 -58 -99
871 -66 81
872 75 94
873 83 27
874 69 -30
875 3 5
876 -80 44
877 -85 -69
878 29 82
879 -54 -35
880 54 -70
881 -84 -16
882 12 54
883 5 -95
884 -34 79
885 -25 -42
886 30 9
887 89 -46
888 -48 72
889 82 -80
890 -59 -66
891 -25 -39
892 78 -10
893 -57 -44
894 -78 -61
895 21 26
896 -31 -12
897 -91 31
898 -59 -36
899 -14 -43
900 93 61
901 -35 -28
902 -80 -46
903 27 -28
904 -75 -42
905 -57 -84
906 -58 18
907 -23 70
908 59 20
909 -75 81
910 10 -4
911 -44 79
912 84 -85
913 -21 46
914 82 -79
915 -43 -53
916 -7 -23
917 1 70
918 -1 -24
919 78 -8
920 -8 -81
921 -90 69
922 89 19
923 -61 64
924 -1 49
925 -40 5
926 -23 94
927 20 37
928 19 49
929 -67 0
930 70 -10
931 47 -88
932 67 98
933 33 -85
934 -27 10
935 8 65
936 -20 -32
937 -16 -32
938 87 -27
939 83 -65
940 72 -58
941 40 -52
942 86 -91
943 36 4
944 58 69
945 -96 -23
946 -42 51
947 -61 75
948 -1 72
949 40 72
950 -68 98
951 -13 12
952 -85 71
953 30 -99
954 -57 12
955 87 -86
956 4 -24
957 -88 -10
958 -65 -2
959 94 93
960 -84 98
961 -81 -76
962 -1 -41
963 99 98
964 81 -11
965 19 -88
966 -14 -95
967 24 -48
968 76 -96
969 -47 69
970 16 91
971 33 -80
972 -84 -4
973 10 -48
974 94 -47
975 95 -90
976 -49 -86
977 -66 0
978 -77 84
979 -3 -97
980 -78 66
981 -84 -42
982 72 -10
983 10 47
984 -6 14
985 -34 61
986 -46 99
987 81 -30
988 -56 -60
989 -28 -62
990 -57 -33
991 99 -6
992 -69 83
993 44 -96
994 16 -60
995 -93 38
996 -94 74
997 97 28
998 -76 8
999 -32 -77
1000 -61 99
1001 -56 -17
1002 89 16
1003 -29 -68
1004 33 -81
1005 26 64
1006 -98 -30
1007 68 -32
1008 -40 26
1009 57 -84
1010 -1 53
1011 44 13
1012 59 69
1013 -79 29
1014 -92 -61
1015 2 98
1016 -62 46
1017 -19 -74
1018 -38 2
1019 -42 95
1020 22 35
1021 9 -26
1022 55 -74
1023 -8 65
1024 2 -52
1025 82 52
1026 51 -25
1027 -36 10
1028 94 -65
1029 -62 53
1030 -25 -10
1031 50 13
1032 -64 81
1033 39 -2
1034 -17 48
1035 -58 55
1036 -18 1
1037 79 -64
1038 28 -30
1039 -100 -71
1040 19 32
1041 81 -31
1042 58 96
1043 29 51
1044 -70 67
1045 -47 -45
1046 -93 -97
1047 68 -57
1048 84 -43
1049 -9 -34
1050 -96 33
1051 71 -64
1052 85 49
1053 -78 12
1054 70 73
1055 -9 -12
1056 5 -78
1057 7 -38
1058 68 -64
1059 63 48
1060 53 -84
1061 -97 60
1062 70 21
1063 -98 53
1064 28 -7
1065 70 -18
1066 77 40
1067 18 11
1068 -61 40
1069 -78 -92
1070 -37 -37
1071 -4 68
1072 -65 53
1073 80 53
1074 89 -8
1075 1 42
1076 -42 -46
1077 -49 -73
1078 75 -46
1079 81 3
1080 -3 0
1081 85 -77
1082 -61 -47
1083 34 -72
1084 43 6
1085 -64 -95
1086 20 32
1087 23 5
1088 -65 2
1089 -42 -77
1090 45 59
1091 15 -98
1092 -88 67
1093 81 37
1094 71 61
1095 90 -83
1096 -90 25
1097 -59 100
1098 78 25
1099 -72 -30
1100 82 -36
1101 47 49
1102 56 82
1103 -99 -87
1104 55 46
1105 22 -30
1106 -2 -16
1107 87 -22
1108 -79 57
1109 89 -90
1110 24 99
1111 35 15
1112 99 -38
1113 33 -79
1114 -10 59
1115 -28 -64
1116 -43 -73
1117 68 -42
1118 92 23
1119 54 13
1120 93 -48
1121 98 29
1122 30 69
1123 -65 -31
1124 79 59
1125 -33 -36
1126 -26 -35
1127 -24 14
1128 -59 -92
1129 -15 -18
1130 17 7
1131 18 25
1132 -16 -64
1133 83 -25
1134 59 -13
1135 39 1
1136 39 -14
1137 -71 -82
1138 -46 -36
1139 -63 -68
1140 -78 5
1141 -54 -4
1142 20 23
1143 60 62
1144 -19 95
1145 -57 49
1146 -49 11
1147 -27 36
1148 47 -95
1149 61 -45
1150 -8 -51
1151 56 81
1152 100 89
1153 -52 -64
1154 72 -79
1155 -9 -83
1156 -33 62
1157 -10 -73
1158 -27 72
1159 72 16
1160 20 -77
1161 48 -31
1162 29 -60
1163 19 -65
1164 -80 -97
1165 -81 70
1166 93 -82
1167 57 64
1168 -61 98
1169 31 6
1170 59 -79
1171 -17 -69
1172 43 -45
1173 -3 -88
1174 -72 -76
1175 55 37
1176 -2 2
1177 56 77
1178 -8 -76
1179 -89 -37
1180 -72 82
1181 -68 -80
1182 50 39
1183 34 39
1184 37 -36
1185 -56 -55
1186 -65 -22
1187 -23 28
1188 -17 74
1189 40 -39
1190 48 -56
1191 98 96
1192 -3 3
1193 73 89
1194 28 34
1195 -49 6
1196 -35 -66
1197 -24 -86
1198 23 60
1199 53 -41
1200 74 48
1201 -45 -91
1202 -75 32
1203 37 -42
1204 -45 -73
1205 19 -97
1206 -29 -34
1207 99 68
1208 69 21
1209 7 -54
1210 -95 58
1211 2 -30
1212 42 78
1213 -15 -35
1214 -13 -63
1215 -26 -39
1216 85 29
1217 -30 60
1218 -90 57
1219 68 -84
1220 84 -14
1221 -81 -95
1222 52 68
1223 73 -29
1224 -61 -21
1225 17 -56
1226 88 -81
1227 14 -21
1228 44 -66
1229 -5 21
1230 -3 15
1231 -69 -42
1232 -79 99
1233 -26 56
1234 -15 -57
1235 61 87
1236 61 -17
1237 -43 100
1238 13 25
1239 94 0
1240 44 -42
1241 79 -60
1242 -94 -27
1243 -26 43
1244 -59 19
1245 -86 -12
1246 -67 -55
1247 94 70
1248 -90 -72
1249 -88 21
1250 -85 74
1251 -97 -78
1252 73 16
1253 47 17
1254 66 -60
1255 75 45
1256 -19 81
1257 -26 -92
1258 -76 -12
1259 -54 -43
1260 -17 93
1261 -38 -74
1262 62 -78
1263 -45 25
1264 43 -80
1265 -2 -3
1266 -58 -80
1267 -88 40
1268 37 79
1269 80 11
1270 -27 -40
1271 -58 -60
1272 66 16
1273 99 90
1274 54 -56
1275 97 87
1276 -64 -91
1277 -88 49
1278 82 -33
1279 -27 25
1280 -63 21
1281 -79 -70
1282 -9 84
1283 70 -72
1284 12 49
1285 -11 85
1286 60 -19
1287 -76 -25
1288 47 -78
1289 -86 -50
1290 -83 61
1291 -64 -97
1292 70 100
1293 52 52
1294 -84 75
1295 -74 -46
1296 -16 37
1297 81 -97
1298 15 -7
1299 2 54
1300 -73 -89
1301 86 -98
1302 75 -50
1303 33 92
1304 -89 69
1305 96 31
1306 68 47
1307 -18 35
1308 -28 -42
1309 89 17
1310 -45 -78
1311 -97 87
1312 -75 18
1313 -78 -44
1314 -11 -93
1315 -42 75
1316 39 -67
1317 -75 -29
1318 -76 87
1319 91 -81
1320 17 8
1321 17 50
1322 -58 39
1323 -93 81
1324 -45 -87
1325 -98 -91
1326 50 78
1327 27 79
1328 -45 49
1329 -66 44
1330 56 -57
1331 -32 -55
1332 -74 -57
1333 -34 -50
1334 -71 -94
1335 -80 47
1336 -35 -13
1337 -54 7
1338 -75 -47
1339 -84 91
1340 -61 66
1341 19 17
1342 44 74
1343 -35 29
1344 -33 72
1345 22 -15
1346 67 48
1347 -21 83
1348 48 8
1349 90 68
1350 -96 -46
1351 -46 -50
1352 11 -71
1353 -46 49
1354 -40 -30
1355 -10 -1
1356 -64 -92
1357 66 30
1358 32 82
1359 -42 49
1360 53 80
1361 -67 -31
1362 27 12
1363 -49 -75
1364 71 91
1365 93 25
1366 -56 98
1367 76 6
1368 -74 80
1369 -96 -64
1370 -51 -6
1371 -14 -15
1372 -48 -49
1373 -85 84
1374 -68 -77
1375 32 35
1376 54 16
1377 78 -95
1378 -45 -2
1379 46 -52
1380 -77 41
1381 96 49
1382 -54 72
1383 28 -100
1384 -92 27
1385 -55 -6
1386 63 -3
1387 -5 28
1388 -69 -22
1389 51 13
1390 -88 4
1391 -72 67
1392 35 57
1393 22 40
1394 -96 -33
1395 38 78
1396 -93 33
1397 26 -97
1398 5 -97
1399 -96 -37
1400 31 -51
1401 7 -7
1402 46 -99
1403 -80 77
1404 -21 21
1405 -60 -58
1406 76 -32
1407 59 -40
1408 75 -20
1409 100 80
1410 47 38
1411 57 5
1412 -30 -67
1413 8 25
1414 87 -38
1415 38 17
1416 -39 -56
1417 60 -93
1418 97 30
1419 34 -75
1420 -49 74
1421 -33 77
1422 93 -75
1423 -64 17
1424 -54 53
1425 73 -97
1426 -43 94
1427 87 15
1428 -32 73
1429 28 -94
1430 -60 89
1431 -100 100
1432 46 97
1433 -20 -70
1434 73 -19
1435 54 -61
1436 -43 -4
1437 -85 -7
1438 -87 -80
1439 -22 -41
1440 73 -49
1441 -88 80
1442 95 49
1443 -55 -88
1444 -82 62
1445 11 -81
1446 11 -43
1447 66 41
1448 -13 38
1449 -79 91
1450 28 -72
1451 -13 -7
1452 21 0
1453 13 50
1454 9 -64
1455 51 22
1456 -85 45
1457 -30 -90
1458 57 42
1459 33 26
1460 -47 -56
1461 -5 15
1462 -49 -40
1463 -45 -12
1464 49 -73
1465 -22 -24
1466 -45 65
1467 69 27
1468 -36 -69
1469 -24 24
1470 -33 -74
1471 -55 -67
1472 21 -35
1473 -57 -73
1474 58 77
1475 53 -90
1476 71 -53
1477 25 -79
1478 -42 81
1479 9 -94
1480 58 87
1481 -18 -88
1482 52 -100
1483 -11 66
1484 -69 65
1485 -11 -51
1486 41 -16
1487 -18 -39
1488 0 -25
1489 -11 -43
1490 -49 -59
1491 -61 43
1492 93 -3
1493 -27 -49
1494 3 -70
1495 89 35
1496 93 40
1497 35 -18
1498 -45 16
1499 -54 -5
1500 65 88
1501 29 97
1502 99 -72
1503 -28 -13
1504 -15 -27
1505 -21 3
1506 -55 -32
1507 96 88
1508 65 -32
1509 -61 -83
1510 -52 -73
1511 17 -64
1512 22 22
1513 52 19
1514 67 -33
1515 -44 -4
1516 -37 -46
1517 24 35
1518 -8 60
1519 -92 21
1520 -88 -97
1521 89 -93
1522 91 3
1523 -75 80
1524 20 -27
1525 57 -79
1526 13 -77
1527 -43 86
1528 -4 59
1529 4 -38
1530 -75 60
1531 58 -11
1532 64 -68
1533 -77 -45
1534 92 82
1535 26 54
1536 85 14
1537 61 26
1538 67 36
1539 -45 -64
1540 -92 -88
1541 -43 -29
1542 -44 -19
1543 -77 10
1544 44 99
1545 -81 -49
1546 -13 84
1547 -17 -39
1548 89 -76
1549 -58 15
1550 78 78
1551 79 -12
1552 -47 46
1553 -77 8
1554 82 -69
1555 -30 90
1556 -47 -44
1557 -97 -41
1558 -13 -74
1559 70 81
1560 76 89
1561 -68 -38
1562 22 -35
1563 23 11
1564 -10 16
1565 76 -83
1566 -57 54
1567 6 -4
1568 -51 29
1569 11 -76
1570 71 64
1571 -20 74
1572 73 67
1573 51 42
1574 -2 26
1575 -19 30
1576 38 53
1577 45 -89
1578 -37 -66
1579 27 89
1580 -98 20
1581 -7 8
1582 -85 42
1583 87 69
1584 23 -53
1585 93 -7
1586 61 -78
1587 -83 34
1588 40 18
1589 -75 -63
1590 -57 6
1591 17 81
1592 -41 -39
1593 42 -28
1594 -54 -82
1595 -39 -52
1596 38 4
1597 56 53
1598 -55 -8
1599 -28 69
1600 40 -86
1601 -89 0
1602 -63 79
1603 -67 27
1604 -4 -41
1605 64 -11
1606 15 -20
1607 -80 24
1608 41 62
1609 81 -93
1610 85 18
1611 11 -10
1612 -79 6
1613 83 -57
1614 -76 22
1615 -43 -64
1616 72 -6
1617 65 56
1618 71 -39
1619 65 34
1620 0 -21
1621 64 20
1622 -97 5
1623 -18 50
1624 -59 -88
1625 7 -74
1626 30 -83
1627 16 1
1628 -27 -52
1629 44 -2
1630 20 -99
1631 -16 -8
1632 -53 -84
1633 -41 -89
1634 0 60
1635 -60 -36
1636 -71 94
1637 19 -39
1638 43 60
1639 -27 -51
1640 36 54
1641 -84 -98
1642 -46 -60
1643 -100 49
1644 38 21
1645 0 -79
1646 -88 45
1647 -81 -91
1648 11 -21
1649 71 -89
1650 89 61
1651 -75 -83
1652 55 44
1653 -21 -53
1654 -47 2
1655 -53 40
1656 -45 -37
1657 42 -40
1658 3 -8
1659 -92 91
1660 -88 8
1661 -89 75
1662 -98 -69
1663 34 -36
1664 -40 -46
1665 -75 -52
1666 -85 -50
1667 -85 20
1668 94 -6
1669 67 -54
1670 47 -87
1671 36 -99
1672 -73 -73
1673 -89 -20
1674 20 -81
1675 -29 32
1676 -23 -68
1677 -43 -70
1678 -87 91
1679 -56 -27
1680 -55 -31
1681 -29 -90
1682 19 -13
1683 30 -38
1684 31 -4
1685 -42 -23
1686 -40 95
1687 -71 -63
1688 -79 -60
1689 17 41
1690 -90 38
1691 -77 -63
1692 21 -20
1693 -30 -39
1694 58 -35
1695 30 79
1696 -25 99
1697 -85 -96
1698 -90 47
1699 -49 -31
1700 74 -39
1701 -87 53
1702 -2 85
1703 94 -86
1704 -24 54
1705 3 -1
1706 91 -77
1707 79 -92
1708 7 99
1709 -31 -36
1710 -57 -11
1711 -2 -42
1712 -56 9
1713 55 -55
1714 28 -21
1715 6 41
1716 -69 54
1717 -25 -76
1718 18 51
1719 78 -80
1720 -51 19
1721 -57 78
1722 27 1
1723 27 46
1724 65 41
1725 -55 58
1726 80 44
1727 67 -77
1728 -48 -29
1729 -82 30
1730 50 -26
1731 -30 82
1732 -73 -5
1733 56 46
1734 -54 -16
1735 66 -5
1736 -98 60
1737 -77 -21
1738 -40 0
1739 75 75
1740 -60 -80
1741 14 -51
1742 94 66
1743 20 62
1744 -55 -30
1745 -64 -35
1746 -99 -37
1747 60 57
1748 59 -95
1749 91 25
1750 -49 43
1751 -79 -56
1752 74 47
1753 -82 64
1754 67 1
1755 33 -70
1756 50 -24
1757 96 -80
1758 -62 91
1759 -60 -26
1760 -45 -59
1761 -13 -86
1762 48 -54
1763 -80 39
1764 21 -29
1765 -69 55
1766 -5 -97
1767 99 -82
1768 50 67
1769 82 -34
1770 -32 -36
1771 41 -59
1772 88 79
1773 -69 -73
1774 -98 -14
1775 -32 -61
1776 0 67
1777 -15 -30
1778 -45 -95
1779 -9 -14
1780 10 86
1781 -11 -42
1782 54 -62
1783 -75 -15
1784 -46 -7
1785 -40 -60
1786 91 -52
1787 69 72
1788 -75 21
1789 -43 -6
1790 60 8
1791 -90 -55
1792 28 -35
1793 -100 -81
1794 51 -39
1795 55 91
1796 19 9
1797 79 44
1798 44 -67
1799 -64 -57
1800 33 -53
1801 -17 -26
1802 -55 -49
1803 22 -47
1804 14 -18
1805 61 24
1806 -23 -62
1807 39 -73
1808 -43 -10
1809 -12 -88
1810 -70 -93
1811 -29 -92
1812 51 -86
1813 92 38
1814 -92 25
1815 35 -9
1816 99 80
1817 -7 -57
1818 100 -86
1819 -54 14
1820 -54 57
1821 -63 23
1822 96 77
1823 51 -48
1824 -84 89
1825 -86 97
1826 96 -65
1827 -100 97
1828 21 19
1829 -1 -31
1830 -52 42
1831 12 -53
1832 7 59
1833 61 53
1834 15 49
1835 -24 -40
1836 -25 77
1837 13 -59
1838 65 -23
1839 -63 61
1840 13 92
1841 -93 13
1842 38 92
1843 21 -42
1844 -40 70
1845 27 8
1846 12 90
1847 5 -82
1848 -2 -84
1849 71 63
1850 15 97
1851 -77 40
1852 73 -14
1853 31 -12
1854 63 18
1855 99 -25
1856 9 -95
1857 38 -53
1858 47 -42
1859 -45 -94
1860 -72 33
1861 -36 40
1862 -28 19
1863 8 20
1864 35 -22
1865 -18 100
1866 -75 -45
1867 39 48
1868 41 -31
1869 -65 -46
